"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"411511_704",243,"88V","",704,"","",""
"411511_713",243,"88V","",713,"","",""
"379929_704",243,"V","",704,"","",""
"379929_713",243,"V","",713,"","",""
"379928_704",243,"V","",704,"","",""
"379926_704",243,"63V","",704,"","",""
"379926_713",243,"63V","",713,"","",""
"379925_704",243,"46V","",704,"","",""
"379925_713",243,"46V","",713,"","",""
"379924_715",243,"46ALT","",715,"","",""
"379923_704",243,"46","",704,"","",""
"379922_704",243,"43E","",704,"","",""
"379921_704",243,"10","",704,"","",""
"336692_704",243,"OL5","Ortsbus Brand: Brand - Am Reulert - Brand - Schagenstraße - Brand",704,"","",""
"336691_715",243,"50ALT","ALT Eilendorf - Brand",715,"","",""
"292006_715",243,"77ALT","ALT Aachen-Richterich Wohngebiet Grünenthal",715,"","",""
"267842_704",243,"SB88","Simmerath - Strauch - Schmidt - Nideggen",704,"","",""
"267841_704",243,"SB66","Schnellbus: Aachen Bushof - Brand - Walheim - Friesenrath - Roetgen - Konzen - Monschau",704,"","",""
"267840_704",243,"SB63","Schnellbus: Aachen - Roetgen - Lammersdorf - Simmerath",704,"","",""
"267838_704",243,"88","Simmerath - Strauch - Steckenborn - Schmidt",704,"","",""
"267837_704",243,"85V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267837_713",243,"85V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267836_704",243,"85","Imgenbroich / Monschau - Mützenich - Kalterherberg",704,"","",""
"267835_704",243,"84V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267835_713",243,"84V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267834_704",243,"84","Monschau - Höfen - Rohren - Widdau - Imgenbroich",704,"","",""
"267833_704",243,"83V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267833_713",243,"83V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267831_704",243,"83","Simmerath - Dedenborn - Einruhr - Erkensruhr",704,"","",""
"267830_704",243,"82V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267830_713",243,"82V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267829_704",243,"82","Simmerath (- Konzen) - Imgenbroich - Monschau",704,"","",""
"267827_704",243,"71","Geilenkirchen - Baesweiler - Siersdorf - Aldenhoven",704,"","",""
"267826_704",243,"68V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267826_713",243,"68V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267824_704",243,"68","(Lammersdorf) - Simmerath - Steckenborn - Rurberg (- Einruhr)",704,"","",""
"267821_704",243,"66V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267821_713",243,"66V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267820_704",243,"66","Aachen Bushof - Brand - Walheim - Friesenrath - Roetgen - Konzen - Imgenbroich - Monschau",704,"","",""
"267819_704",243,"64","Ortsbus Roetgen: (Pilgerbornstr. -) Kalfstraße - Markt - Post (- Schwerzfelder Str.)",704,"","",""
"267818_704",243,"63","Simmerath - Kesternich - Einruhr - Vogelsang (- Schleiden)",704,"","",""
"267817_704",243,"61","Stolberg - Breinig - Venwegen - Rott - Roetgen",704,"","",""
"267816_704",243,"385","Eupen - Mützenich - Monschau - Kalterherberg",704,"","",""
"267815_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267815_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267814_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267814_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267813_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267813_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267812_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267812_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267810_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Herzogenrath / Merkstein",704,"","",""
"267810_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Herzogenrath / Merkstein",713,"","",""
"267809_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Herzogenrath Kohlscheid",704,"","",""
"267809_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Herzogenrath Kohlscheid",713,"","",""
"267808_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267808_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267807_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Eschweiler",704,"","",""
"267807_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Eschweiler",713,"","",""
"267806_704",243,"V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"267806_713",243,"V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"267805_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Alsdorf",704,"","",""
"267805_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Alsdorf",713,"","",""
"267804_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Ronheider Weg / Burtscheid",704,"","",""
"267804_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Ronheider Weg / Burtscheid",713,"","",""
"267803_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Laurensberg",704,"","",""
"267803_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Laurensberg",713,"","",""
"267802_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen, Grundschulen",704,"","",""
"267802_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen, Grundschulen",713,"","",""
"267801_704",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Brand",704,"","",""
"267801_713",243,"V","zusätzliche Einsatzwagen an Schultagen - Schulen in Aachen Brand",713,"","",""
"247573_704",243,"5V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"247573_713",243,"5V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"247572_704",243,"45V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"247572_713",243,"45V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"247571_704",243,"27E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"247571_713",243,"27E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"198371_704",243,"N60","Aachen Hbf - Elisenbrunnen - Brand - Rott - Roetgen - Simmerath - Imgenbroich - Walheim",704,"","",""
"191193_704",243,"98","Alsdorf - Mariadorf - Hoengen - Kinzweiler - Eschweiler - Weisweiler - Langerwehe",704,"","",""
"191192_704",243,"58","Zweifall - Breinig - Venwegen",704,"","",""
"191191_704",243,"38","Stolberg Altstadt - Mühlener Bahnhof - Stolberg Hauptbahnhof",704,"","",""
"184303_704",243,"71V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"184303_713",243,"71V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"160164_704",243,"21V","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"160164_713",243,"21V","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"149630_704",243,"55E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"149630_713",243,"55E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"149629_704",243,"52E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"149629_713",243,"52E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"149628_704",243,"51E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"149628_713",243,"51E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"149623_704",243,"25E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"149623_713",243,"25E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"149622_704",243,"1E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
"149622_713",243,"1E","zusätzliche Einsatzwagen an Schultagen",713,"","",""
"145081_704",243,"21E","zusätzliche Einsatzwagen an Schultagen",704,"","",""
