"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"411511_704",1,218276779,"Schmidt Schefferstraße","",0,1825,2225,1,0
"411511_713",2,212207123,"Schmidt Schefferstraße","",0,4711,2225,1,0
"379929_704",1,218335188,"Vossenack Gymnasium","",0,,2216,1,0
"379929_704",1,218335200,"Hürtgenwald, Vossenack Gymnasium","",0,,2215,1,0
"379929_704",1,218335180,"Simmerath, Bushof","",1,,2223,1,0
"379929_704",3,218335179,"Simmerath, Bushof","",1,,2224,1,0
"379929_704",3,218335186,"Roetgen Post","",1,,2217,1,0
"379929_704",3,218335184,"Schmidt (Gerstenhof)","",1,,2219,1,0
"379929_704",4,218335181,"Simmerath, Bushof","",1,,2222,1,0
"379929_704",1,218335185,"Strauch Post","",1,,2220,1,0
"379929_704",1,218335187,"Stolberg, Breinig Alt-Breinig","",1,,2218,1,0
"379929_704",4,218335182,"Stolberg, Breinig Alt-Breinig","",1,,2221,1,0
"379929_713",5,205871875,"Vossenack Gymnasium","",0,,2216,1,0
"379929_713",2,212232875,"Hürtgenwald, Vossenack Gymnasium","",0,,2215,1,0
"379929_713",6,205871887,"Hürtgenwald, Vossenack Gymnasium","",0,,2215,1,0
"379929_713",5,205871867,"Simmerath, Bushof","",1,,2223,1,0
"379929_713",7,205871866,"Simmerath, Bushof","",1,,2224,1,0
"379929_713",7,205871873,"Roetgen Post","",1,,2217,1,0
"379929_713",7,205871871,"Schmidt (Gerstenhof)","",1,,2219,1,0
"379929_713",8,205871868,"Simmerath, Bushof","",1,,2222,1,0
"379929_713",5,205871872,"Strauch Post","",1,,2220,1,0
"379929_713",5,205871874,"Stolberg, Breinig Alt-Breinig","",1,,2218,1,0
"379929_713",8,205871869,"Stolberg, Breinig Alt-Breinig","",1,,2221,1,0
"379928_704",9,205870205,"Lammersdorf Grundschule","",0,,2202,1,0
"379928_704",9,205870232,"Simmerath Bushof","",0,,2197,1,0
"379928_704",9,205870231,"Simmerath Bushof","",0,,2198,1,0
"379928_704",9,205870230,"Simmerath Sekundarschule","",0,,2199,1,0
"379928_704",1,218333530,"Simmerath Bushof","",0,1415,2201,1,0
"379928_704",6,205870217,"Simmerath Bushof","",0,2589,2201,1,0
"379928_704",6,205870229,"Monschau, Parkhaus","",0,3493,2200,1,0
"379928_704",6,205870244,"Brand Schulzentrum","",0,3494,2196,1,0
"379928_704",6,205870256,"Schleiden Busbahnhof","",0,3495,2195,1,0
"379928_704",1,218333542,"Monschau, Parkhaus","",0,3812,2200,1,0
"379928_704",1,218333557,"Brand Schulzentrum","",0,3813,2196,1,0
"379928_704",1,218333569,"Schleiden Busbahnhof","",0,3815,2195,1,0
"379928_704",2,212231205,"Simmerath Bushof","",0,4487,2201,1,0
"379928_704",2,212231209,"Monschau, Parkhaus","",0,5192,2200,1,0
"379928_704",2,212231232,"Brand Schulzentrum","",0,5193,2196,1,0
"379928_704",2,212231244,"Schleiden Busbahnhof","",0,5194,2195,1,0
"379928_704",9,205870032,"Erkensruhr Finkenauel","",1,,2203,1,0
"379928_704",9,205870031,"Erkensruhr Finkenauel","",1,,2203,1,0
"379928_704",9,205870030,"Erkensruhr Finkenauel","",1,,2203,1,0
"379928_704",9,205870029,"Erkensruhr Finkenauel","",1,,2203,1,0
"379928_704",9,205870112,"Roetgen, Post","",1,,2208,1,0
"379928_704",9,205870111,"Roetgen, Post","",1,,2208,1,0
"379928_704",10,212231059,"Zweifall Kirche","",1,,2214,1,0
"379928_704",1,218333395,"Zweifall Kirche","",1,2070,2210,1,0
"379928_704",1,218333403,"Zweifall Kirche","",1,2071,2210,1,0
"379928_704",1,218333437,"Vossenack Gymnasium","",1,2277,2207,1,0
"379928_704",11,218333339,"Walheim","",1,2306,2212,1,0
"379928_704",1,218333483,"Lammersdorf Kirche","",1,2318,2205,1,0
"379928_704",1,218333484,"Lammersdorf Kirche","",1,2320,2205,1,0
"379928_704",6,205870053,"Zweifall Kirche","",1,2848,2210,1,0
"379928_704",6,205870052,"Zweifall Kirche","",1,2849,2210,1,0
"379928_704",6,205870124,"Vossenack Gymnasium","",1,2866,2207,1,0
"379928_704",12,205870038,"Walheim","",1,2883,2212,1,0
"379928_704",6,205870170,"Lammersdorf Kirche","",1,2886,2205,1,0
"379928_704",6,205870171,"Lammersdorf Kirche","",1,2887,2205,1,0
"379928_704",6,205870050,"Monschau Gymnasium","",1,3124,2211,1,0
"379928_704",6,205870086,"Monschau, Gymnasium","",1,3126,2204,1,0
"379928_704",6,205870204,"Monschau, Gymnasium","",1,3127,2204,1,0
"379928_704",6,205870136,"Monschau, Gymnasium","",1,3128,2204,1,0
"379928_704",1,218333351,"Monschau Gymnasium","",1,3245,2211,1,0
"379928_704",1,218333375,"Monschau, Gymnasium","",1,3247,2204,1,0
"379928_704",1,218333517,"Monschau, Gymnasium","",1,3248,2204,1,0
"379928_704",1,218333449,"Monschau, Gymnasium","",1,3249,2204,1,0
"379928_704",6,205870088,"Rott - Roetgen Post","",1,3488,2209,1,0
"379928_704",6,205870089,"Rott - Roetgen Post","",1,3489,2209,1,0
"379928_704",6,205870144,"Rollesbroich Schlad","",1,3490,2206,1,0
"379928_704",6,205870149,"Aachen Bushof","",1,3491,1965,1,0
"379928_704",13,205870150,"Aachen Bushof","",1,3492,1965,1,0
"379928_704",1,218333363,"Rott - Roetgen Post","",1,3807,2209,1,0
"379928_704",1,218333423,"Rott - Roetgen Post","",1,3808,2213,1,0
"379928_704",1,218333461,"Rollesbroich Schlad","",1,3809,2206,1,0
"379928_704",1,218333462,"Aachen Bushof","",1,3810,1965,1,0
"379928_704",14,218333463,"Aachen Bushof","",1,3811,1965,1,0
"379928_704",2,212231073,"Zweifall Kirche","",1,4746,2210,1,0
"379928_704",2,212231060,"Zweifall Kirche","",1,4747,2210,1,0
"379928_704",2,212231112,"Vossenack Gymnasium","",1,4761,2207,1,0
"379928_704",15,212231014,"Walheim","",1,4778,2212,1,0
"379928_704",2,212231158,"Lammersdorf Kirche","",1,4781,2205,1,0
"379928_704",2,212231159,"Lammersdorf Kirche","",1,4782,2205,1,0
"379928_704",2,212231026,"Monschau Gymnasium","",1,4988,2211,1,0
"379928_704",2,212231050,"Monschau, Gymnasium","",1,4990,2204,1,0
"379928_704",2,212231192,"Monschau, Gymnasium","",1,4991,2204,1,0
"379928_704",2,212231124,"Monschau, Gymnasium","",1,4992,2204,1,0
"379928_704",2,212231038,"Rott - Roetgen Post","",1,5187,2209,1,0
"379928_704",2,212231095,"Rott - Roetgen Post","",1,5188,2213,1,0
"379928_704",2,212231136,"Rollesbroich Schlad","",1,5189,2206,1,0
"379928_704",2,212231137,"Aachen Bushof","",1,5190,1965,1,0
"379928_704",16,212231138,"Aachen Bushof","",1,5191,1965,1,0
"379926_704",1,218259369,"Schleiden Busbahnhof","",0,3243,1887,1,0
"379926_704",1,218259393,"Schleiden Busbahnhof","",0,3260,1888,1,0
"379926_704",1,218259372,"Schleiden Busbahnhof","",0,3815,1888,1,0
"379926_704",1,218259356,"Simmerath Bushof","",1,,1899,1,0
"379926_704",1,218259343,"Simmerath Bushof (Schmidt)","",1,1825,1899,1,0
"379926_704",1,218259355,"Strauch - Simmerath Bushof","",1,1826,2194,1,0
"379926_713",5,205826126,"Schleiden Busbahnhof","",0,,1888,1,0
"379926_713",6,205826119,"Schleiden Busbahnhof","",0,3137,1888,1,0
"379926_713",6,205826107,"Schleiden Busbahnhof","",0,3495,1888,1,0
"379926_713",2,212187065,"Schleiden Busbahnhof","",0,5003,1888,1,0
"379926_713",2,212187043,"Schleiden Busbahnhof","",0,5194,1888,1,0
"379926_713",5,205826101,"Simmerath Bushof","",1,,1899,1,0
"379926_713",6,205826100,"Strauch - Simmerath Bushof","",1,2813,2194,1,0
"379926_713",2,212187026,"Simmerath Bushof (Schmidt)","",1,4711,1899,1,0
"379926_713",2,212187038,"Strauch - Simmerath Bushof","",1,4712,2194,1,0
"379925_704",1,218235337,"Roetgen Post","",0,,2192,1,0
"379925_704",11,218235324,"Walheim","",1,2306,2185,1,0
"379925_704",1,218235336,"Brand Schulzentrum","",1,3813,2193,1,0
"379925_713",5,205797914,"Roetgen Post","",0,,2192,1,0
"379925_713",6,205797913,"Brand Schulzentrum","",1,3494,2177,1,0
"379925_713",15,212158838,"Walheim","",1,4778,2185,1,0
"379925_713",2,212158850,"Brand Schulzentrum","",1,5193,2193,1,0
"379924_715",17,218235301,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235300,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235299,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",18,218235284,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235297,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235283,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235296,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235282,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235295,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235281,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235294,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235280,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235293,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235279,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235292,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235278,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235291,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235277,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235290,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235276,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235289,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235275,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235288,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",20,218235307,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235274,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",20,218235306,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235287,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",19,218235273,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",21,218235286,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",22,218235272,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",20,218235303,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",20,218235302,"Stolberg, Venwegen Süd","",0,,2190,0,0
"379924_715",17,218235265,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235264,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235263,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",18,218235248,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235261,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235247,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235260,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235246,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235259,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235245,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235258,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235244,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235257,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235243,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235256,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235242,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235255,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235241,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235254,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235240,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",17,218235253,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",19,218235239,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",21,218235252,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",18,218235238,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",20,218235270,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",18,218235237,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",20,218235269,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",22,218235236,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",20,218235267,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379924_715",20,218235266,"Stolberg, Breinig Entengasse","",1,,2191,0,0
"379923_704",23,205797868,"Roetgen Post","",0,,2171,1,0
"379923_704",23,205797867,"Roetgen Post","",0,,2171,1,0
"379923_704",24,205797882,"Roetgen Post","",0,,2171,1,0
"379923_704",23,205797866,"Roetgen Post","",0,,2171,1,0
"379923_704",25,205797856,"Roetgen Post","",0,,2171,1,0
"379923_704",26,205797881,"Roetgen Post","",0,,2171,1,0
"379923_704",23,205797864,"Roetgen Post","",0,,2171,1,0
"379923_704",25,205797855,"Roetgen Post","",0,,2171,1,0
"379923_704",26,205797880,"Roetgen Post","",0,,2171,1,0
"379923_704",23,205797862,"Roetgen Post","",0,,2171,1,0
"379923_704",25,205797854,"Roetgen Post","",0,,2171,1,0
"379923_704",26,205797879,"Roetgen Post","",0,,2171,1,0
"379923_704",23,205797860,"Roetgen Post","",0,,2171,1,0
"379923_704",25,205797853,"Roetgen Post","",0,,2171,1,0
"379923_704",26,205797878,"Roetgen Post","",0,,2171,1,0
